# Title: HaGeZi's Personal DNS Blocklist
# Description: Blockable hosts that I found during DNS monitoring. Ads, Tracking, Badware and more. Manually maintained.
# License: https://choosealicense.com/licenses/unlicense/
# Homepage: https://github.com/hagezi/dns-blocklists
# Issues: https://github.com/hagezi/dns-blocklists/issues
# Expires: Updated regularly
# Last modified: 24 Aug 2022 18:40 UTC
# Version: 2022.0824.1840.37
# Syntax: Hosts
# Domains: 254
#
0.0.0.0 nextleveltracking.eu
0.0.0.0 tag.nextleveltracking.eu
0.0.0.0 www.nextleveltracking.eu
0.0.0.0 nonfattoplike.com
0.0.0.0 www.nonfattoplike.com
0.0.0.0 trk.ometria.com
0.0.0.0 h-87rxrdob.online-metrix.net
0.0.0.0 h-emirates.online-metrix.net
0.0.0.0 cdn.opecloud.com
0.0.0.0 analytics-ingestion.pbpms.de
0.0.0.0 track.ph-connect.de
0.0.0.0 analytics.prensaiberica.es
0.0.0.0 analytics-cdn.prensaiberica.es
0.0.0.0 proxyrarbg.org
0.0.0.0 www.proxyrarbg.org
0.0.0.0 emirates-app.quantummetric.com
0.0.0.0 rarbg2018.org
0.0.0.0 www.rarbg2018.org
0.0.0.0 rarbg2019.org
0.0.0.0 www.rarbg2019.org
0.0.0.0 rarbgaccess.org
0.0.0.0 www.rarbgaccess.org
0.0.0.0 rarbgaccessed.org
0.0.0.0 www.rarbgaccessed.org
0.0.0.0 rarbgdata.org
0.0.0.0 www.rarbgdata.org
0.0.0.0 rarbgenter.org
0.0.0.0 www.rarbgenter.org
0.0.0.0 rarbgget.org
0.0.0.0 www.rarbgget.org
0.0.0.0 rarbggo.org
0.0.0.0 www.rarbggo.org
0.0.0.0 rarbgmirror.com
0.0.0.0 rarbgmirror.org
0.0.0.0 www.rarbgmirror.com
0.0.0.0 www.rarbgmirror.org
0.0.0.0 rarbgmirrored.org
0.0.0.0 www.rarbgmirrored.org
0.0.0.0 rarbgp2p.org
0.0.0.0 www.rarbgp2p.org
0.0.0.0 rarbgproxied.org
0.0.0.0 www.rarbgproxied.org
0.0.0.0 rarbgproxy.org
0.0.0.0 www.rarbgproxy.org
0.0.0.0 rarbgprx.org
0.0.0.0 www.rarbgprx.org
0.0.0.0 rarbgto.org
0.0.0.0 www.rarbgto.org
0.0.0.0 rarbgtor.org
0.0.0.0 www.rarbgtor.org
0.0.0.0 rarbgtorrents.org
0.0.0.0 www.rarbgtorrents.org
0.0.0.0 rarbgunblock.com
0.0.0.0 www.rarbgunblock.com
0.0.0.0 rarbgunblocked.org
0.0.0.0 www.rarbgunblocked.org
0.0.0.0 rarbgway.org
0.0.0.0 www.rarbgway.org
0.0.0.0 pixel.renovai.com
0.0.0.0 metrics.rewe.de
0.0.0.0 ribsaiji.com
0.0.0.0 rndskittytor.com
0.0.0.0 notify-bugs-fra1.rtl.de
0.0.0.0 session-bugs-fra1.rtl.de
0.0.0.0 sanalytics.rundschau-online.de
0.0.0.0 pro-web-metrics.alias.s24cloud.net
0.0.0.0 scarfsmash.com
0.0.0.0 udm.scorecardresearch.com
0.0.0.0 selfishsnake.com
0.0.0.0 tmptrk.sensic.net
0.0.0.0 trk.sensic.net
0.0.0.0 fgn.cdn.serverable.com
0.0.0.0 sparta-tracking.xyz
0.0.0.0 track.sparta-tracking.xyz
0.0.0.0 sqrt-5041.de
0.0.0.0 cerberus.sqrt-5041.de
0.0.0.0 stiffgame.com
0.0.0.0 superficialeyes.com
0.0.0.0 analytics.tfm.rocks
0.0.0.0 analytics.ticketmaster.be
0.0.0.0 tracify.ai
0.0.0.0 beacon.tracify.ai
0.0.0.0 www.tracify.ai
0.0.0.0 trackhit.net
0.0.0.0 ssl.trackhit.net
0.0.0.0 trackvrs.com
0.0.0.0 www.trackvrs.com
0.0.0.0 analytics.trbna.com
0.0.0.0 cdn.trkkn.com
0.0.0.0 trknk.com
0.0.0.0 tvping.com
0.0.0.0 track.tvping.com
0.0.0.0 tvtelemetrie.com
0.0.0.0 cdn.tvtelemetrie.de
0.0.0.0 wsviacom.tvtelemetrie.com
0.0.0.0 www.tvtelemetrie.com
0.0.0.0 webtracking.fe.union-investment.de
0.0.0.0 prd-lender.cdp.internal.unity3d.com
0.0.0.0 useonlin.com
0.0.0.0 www.useonlin.com
0.0.0.0 analytics.wasserstand-niederoesterreich.at
0.0.0.0 track.production.webgains.team
0.0.0.0 webroutetrk.com
0.0.0.0 www.webroutetrk.com
0.0.0.0 bo-tracking.zettle.com
0.0.0.0 zodertracker.com
0.0.0.0 www.zodertracker.com
0.0.0.0 cdn.zomap.de
